Step #1 --------------------
Particle | Position (X) | Position (Y) | Velocity (X) | Velocity (Y) | Acceler. (X) | Acceler. (Y) |
Particle | Position (X) | Velocity (X) | Acceler. (X) |
      11 | 2.363115e+00 | 1.569162e+00 |-2.837220e+00 |-1.787082e+00 | 1.043430e-01 | 1.582668e-01 |
      12 | 7.083636e-02 | 5.724248e+00 | 2.070178e+00 | 3.690777e+00 |-2.900371e+01 |-8.735596e+01 |
      13 | 7.551024e-02 | 9.047896e+00 |-9.538610e-01 | 8.155629e-01 |-9.540315e-01 | 1.240198e+00 |
      14 | 5.105042e+00 | 1.816287e+00 |-1.111662e+00 | 7.298257e+00 | 1.478961e+01 | 5.627705e+00 |
      15 | 7.026513e+00 | 8.140014e-01 |-8.647091e-01 |-2.314469e+00 | 1.482722e+00 |-4.316582e-02 |
      16 | 6.792257e+00 | 6.196950e+00 | 4.770065e+00 | 5.252974e+00 |-6.695792e-01 |-2.266925e-01 |
      17 | 7.103571e+00 | 9.489956e+00 | 1.738271e+00 |-1.506857e+00 |-1.721231e-01 | 3.207128e-01 |
      18 | 5.448635e+00 | 6.865973e+00 | 1.006131e+01 | 1.295337e+00 | 9.313895e-02 |-9.793692e-01 |
      19 | 6.419248e+00 | 2.231874e+00 |-2.837426e+00 | 3.726797e-01 |-1.629599e+00 |-3.692831e-01 |
      20 | 2.068912e+00 | 7.129062e+00 |-3.850102e+00 |-9.155624e+00 |-3.198810e+01 |-8.225804e+01 |
      21 | 3.244376e-01 | 1.622975e+00 |-2.648658e+00 |-6.458308e-01 | 3.146963e+02 |-2.257618e+02 |
      22 | 4.136369e+00 | 1.479353e+00 | 7.960854e-01 |-7.955043e+00 |-1.274884e+01 |-7.574583e+00 |
      23 | 4.670938e+00 | 1.884461e-01 |-2.882439e+00 | 5.111728e+00 | 9.076898e-01 | 7.806140e-01 |
      24 | 7.386257e+00 | 8.061768e+00 |-1.425033e+00 |-4.658545e+00 |-7.071432e-01 | 1.133657e+00 |
      25 | 8.086615e+00 | 1.585702e+00 | 2.073159e+00 | 9.596223e-01 | 6.822568e-01 |-2.192050e+00 |
      26 | 4.667523e+00 | 5.828868e+00 |-1.864534e-01 | 2.564680e+00 | 2.582344e+01 | 4.517446e+01 |
      27 | 5.633951e+00 | 9.215856e+00 | 1.971365e+00 | 5.985141e-01 |-7.569417e+00 | 4.136845e+01 |
      28 | 2.351377e+00 | 7.996651e+00 |-1.312609e+00 |-5.463257e+00 | 3.468053e+01 | 1.066585e+02 |
      29 | 4.935980e-01 | 2.861353e+00 |-4.950116e+00 | 4.586247e+00 | 2.995632e+00 | 1.251484e+00 |
      30 | 5.816231e+00 | 8.261651e+00 |-9.180093e-01 |-2.849809e+00 | 8.366342e+00 |-4.104620e+01 |
      31 | 5.905556e+00 | 3.265538e+00 |-1.532901e+00 |-4.953866e-01 | 3.728185e-01 |-2.689576e-01 |
      32 | 1.498349e+00 | 3.443830e+00 | 3.784281e-01 | 4.343801e+00 |-3.376850e+02 |-4.397531e+02 |
      33 | 1.938606e+00 | 6.139965e+00 |-1.829547e+00 |-3.742453e+00 |-3.799711e+00 |-2.502766e+01 |
      34 | 8.560205e+00 | 6.785108e+00 |-1.918719e-01 |-6.566822e+00 |-1.137931e+02 |-2.273349e+01 |
      35 | 9.200922e+00 | 1.002235e+00 | 1.217837e+00 | 3.111843e+00 |-2.405968e+01 | 1.317738e+01 |
      36 | 7.589695e+00 | 4.752000e+00 | 4.475418e-01 | 1.070326e+00 |-1.993265e-01 | 6.695655e-01 |
      37 | 3.992439e-01 | 6.588371e+00 | 7.261598e+00 |-5.516223e+00 | 3.371277e+01 | 8.462072e+01 |
      38 | 8.615351e+00 | 9.439378e+00 |-3.616362e+00 | 1.376260e+00 | 5.538430e-02 | 3.563517e-01 |
      39 | 4.199419e+00 | 4.991549e+00 |-1.881809e+00 |-5.043927e+00 |-1.561726e+00 |-4.424339e+01 |
      40 | 9.676236e+00 | 2.152981e+00 | 1.533559e+00 | 5.883233e+00 |-3.131251e+02 | 2.479005e+02 |
Step #400 --------------------
Particle | Position (X) | Position (Y) | Velocity (X) | Velocity (Y) | Acceler. (X) | Acceler. (Y) |
Particle | Position (X) | Velocity (X) | Acceler. (X) |
       1 | 4.188112e-01 | 7.977184e+00 | 2.946880e+00 | 2.340519e+00 | 6.606219e-01 | 3.706070e+00 |
       2 | 4.448229e+00 | 4.592145e+00 | 1.736587e+00 | 2.539144e+00 |-1.559618e+00 |-3.233050e+00 |
       3 | 1.288536e-01 | 5.342594e+00 |-1.658769e-01 | 4.116270e+00 | 3.610381e-01 |-3.958126e-01 |
       4 | 3.646211e+00 | 2.330250e+00 | 7.761294e+00 |-4.292089e+00 | 1.678463e+00 | 1.380766e+00 |
       5 | 2.368944e+00 | 3.145505e+00 | 3.095706e-01 |-4.761094e-01 | 2.748371e-01 |-1.021174e+00 |
       6 | 5.436986e+00 | 5.047203e+00 | 6.317082e-01 |-3.553958e+00 | 5.433206e+00 |-1.433497e+01 |
       7 | 9.190608e+00 | 2.654974e-01 |-2.177245e+00 | 5.832589e-01 |-1.028645e+00 |-5.564024e-01 |
       8 | 1.081310e+00 | 8.936171e+00 | 6.189312e+00 | 4.845261e+00 |-2.675195e+02 |-1.183387e+03 |
       9 | 1.981145e+00 | 8.611309e+00 | 2.587976e+00 | 7.874084e-01 | 4.180796e+01 | 1.783439e+02 |
      10 | 8.640716e+00 | 4.253273e+00 | 1.064679e-01 | 2.030123e+00 | 3.688570e+02 |-3.232761e+01 |
      11 | 1.554275e+00 | 1.708971e+00 |-4.717925e+00 |-3.332073e+00 | 5.966080e+01 |-3.499413e+01 |
